Trial,Seed,name,Depth,Optimal Epoch,Train Accuracy,Test Accuracy,Train F1 Macro,Test F1 Macro,Train Loss,Validation Loss,Train Time,Test Accuracy Time
1,0,sonar,8,123,0.9423076923076923,0.8653846153846154,0.9421150278293136,0.8649350649350649,0.06543521583080292,0.13040246069431305,1.873884916305542,0.0031442642211914062
2,1,sonar,8,137,0.9615384615384616,0.7884615384615384,0.9614100185528757,0.7883832778394377,0.05876929312944412,0.11610906571149826,2.1217989921569824,0.0038499832153320312
3,2,sonar,8,164,0.9423076923076923,0.8269230769230769,0.9422222222222222,0.8215783454060236,0.0578906275331974,0.09986676275730133,2.525592088699341,0.003042936325073242
