Trial,Seed,name,Depth,Optimal Epoch,Train Accuracy,Test Accuracy,Train F1 Macro,Test F1 Macro,Train Loss,Validation Loss,Train Time,Test Accuracy Time
1,0,banknote_authentication,8,615,1.0,1.0,1.0,1.0,0.0034563010558485985,0.00540292588993907,14.511823892593384,0.0038499832153320312
2,1,banknote_authentication,8,560,1.0,1.0,1.0,1.0,0.00301254796795547,0.004494635388255119,13.882105112075806,0.005024909973144531
3,2,banknote_authentication,8,549,1.0,0.9970845481049563,1.0,0.9970483197796998,0.0030235080048441887,0.0034581406507641077,13.531733274459839,0.005621910095214844
